name,sub_category,id,icon_url
Allagan Snail,Ingredient,93a755694d0,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/f0/f0d754b0ea7f050a658ecedad175ef9a0594646c.png?1376540422
Tree Toad,Ingredient,828b7328c23,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/92/92e6b41093d3ffe54a53660cd68ed29fea800847.png?1376540422
Lava Toad,Ingredient,c2d299aaf13,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/4a/4a04240ffd04a13272308bb44acba63a9dd2dd32.png?1376540422
Mineral Water,Ingredient,57fd274eee8,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/b9/b97042451f4b438fe5294d90618bf0f1bb158fc4.png?1376540421
Aldgoat Milk,Ingredient,6d5ec3a5377,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/ca/ca2b7e4ea0d0a1997c130de34d013f15b59788a4.png?1376540422
Buffalo Milk,Ingredient,34264ae63eb,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/ca/ca2b7e4ea0d0a1997c130de34d013f15b59788a4.png?1376540422
Night Milk,Ingredient,3c78052c13a,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/ca/ca2b7e4ea0d0a1997c130de34d013f15b59788a4.png?1376540422
Cottage Cheese,Ingredient,cc74538b157,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/84/843354d643ab6c83c23f31bd2a381f1d947c88a6.png?1376540422
Blue Cheese,Ingredient,e6817407f5a,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/ee/eea113272d10968c229b4cd1dad7144025f80194.png?1376540422
Cream Cheese,Ingredient,40d59361027,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/74/74bf6cd639bb591678e383c5a33b6f4c042a0f08.png?1376540422
Rolanberry Cheese,Ingredient,eba063ee352,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/d3/d3c12121568d65b548f9ff23cdf596218bc6a79a.png?1376540422
Marmot Meat,Ingredient,c3da69b624c,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/72/721e8ec59f2624a670c41c616a2ea42713cad439.png?1376540422
Mutton Loin,Ingredient,f95ddc7ddb4,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/e4/e4c39f7833cb9eafbec36d65931bf0ea3da15077.png?1376540422
Dodo Tenderloin,Ingredient,abb82d74007,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/56/5693690e6a81b47cc9064b619bde8de33c6187d7.png?1376540422
Mole Meat,Ingredient,80f49ecc7ad,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/72/721e8ec59f2624a670c41c616a2ea42713cad439.png?1376540422
Salamander Tail,Ingredient,599f55fcf4e,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/31/31fc5014750fed0f608a07cf80702fd9692e6e0e.png?1376540422
Young Dodo Roaster,Ingredient,bb0b9bfadce,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/45/453e14e7faddb81d8f260ca00334e33a1a869c7f.png?1376540422
Chicken Breast,Ingredient,aa32b0f7daa,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/56/5693690e6a81b47cc9064b619bde8de33c6187d7.png?1376540422
Antelope Shank,Ingredient,cf3f40353e7,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/f0/f08947ab0fd0f4c4fb06ff1c5d01071076f2d423.png?1376540422
Aldgoat Chuck,Ingredient,42709dc1bb0,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/8c/8c3938c3efe9b5e8e8e39561ec61890f3383ec36.png?1376540422
Raptor Shank,Ingredient,6d755baa2da,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/3e/3eb16fd319cb65056caa48d69e2166c2c892cb4a.png?1376540422
Buffalo Sirloin,Ingredient,068fe41fff7,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/8c/8c3938c3efe9b5e8e8e39561ec61890f3383ec36.png?1376540422
Eft Tail,Ingredient,4931bb444b0,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/31/31fc5014750fed0f608a07cf80702fd9692e6e0e.png?1376540422
Coeurl Meat,Ingredient,326f9efd997,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/72/721e8ec59f2624a670c41c616a2ea42713cad439.png?1376540422
Canard Breast,Ingredient,a36764cd86c,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/56/5693690e6a81b47cc9064b619bde8de33c6187d7.png?1376540422
Orobon Liver,Ingredient,11aaa08c2ca,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/31/31fc5014750fed0f608a07cf80702fd9692e6e0e.png?1376540422
Megalocrab Leg,Ingredient,e885794427d,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/ae/aee96e7bef47056b80c3b266486018e71073ba8b.png?1376540422
Chicken Egg,Ingredient,b434789b9a5,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/bd/bdcea208113b4b1673b80d8daedc478cefa92178.png?1376540422
Dodo Egg,Ingredient,2d35afcb17a,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/87/8760a78761ac37f9cd3454a438b90bd848eee58f.png?1376540422
Puk Egg,Ingredient,7786e8f7a62,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/87/8760a78761ac37f9cd3454a438b90bd848eee58f.png?1376540422
Apkallu Egg,Ingredient,f5799b8125f,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/87/8760a78761ac37f9cd3454a438b90bd848eee58f.png?1376540422
Smoked Bacon,Ingredient,52c0e74cdbf,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/58/5872e2a651e41b56585a84c295b268fb2b2c766a.png?1411366119
Wild Onion,Ingredient,e6f5fcc0f5c,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/92/92743e98b49dd98b493c4857b72036ceddaef072.png?1376540422
Coerthan Carrot,Ingredient,02065e45044,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/7d/7df4cc45898bbe782c286d9a20ae8706396d1967.png?1376540422
Ogre Pumpkin,Ingredient,a3314b71699,http://img.finalfantasyxiv.com/lds/pc/global/images/itemicon/9c/9c5225b459deb90040e5b640fe9c40a8d946c0de.png?1376540422
